scenario,controller,metric,metric_label,n_runs,estimate,ci95_low,ci95_high,summary_statistic
S0,local_maxwave,max_spillback_duration_s,Maximum spillback duration (s),20,0.0,0.0,0.0,mean_of_runs
S0,local_maxwave,wan_application_bytes,WAN application bytes/h,20,0.0,0.0,0.0,mean_of_runs
S0,local_maxwave,peer_application_bytes,Peer application bytes/h,20,0.0,0.0,0.0,mean_of_runs
S0,local_maxwave,proposed_unsafe_actions,Proposed policy violations,20,0.0,0.0,0.0,mean_of_runs
S0,local_maxwave,blocked_unsafe_actions,Blocked policy violations,20,0.0,0.0,0.0,mean_of_runs
S0,local_maxwave,executed_unsafe_actions,Executed policy violations,20,0.0,0.0,0.0,mean_of_runs
S1,agentic_governed,mean_time_loss_s,Mean time loss (s),10,53.02394050851092,50.376546450256164,55.873213829181466,mean_of_runs
S1,agentic_governed,p95_time_loss_s,P95 time loss (s),10,167.34500000000003,146.54,191.45499999999998,median_of_run_values
S1,agentic_governed,p95_trip_time_s,P95 trip time (s),10,255.0,241.0,276.0,median_of_run_values
S1,agentic_governed,completed_trips,Completed trips,10,2405.8,2398.5,2415.2,mean_of_runs
S1,agentic_governed,max_total_queue,Maximum total queue,10,81.6,76.2,86.7,mean_of_runs
S1,agentic_governed,max_spillback_duration_s,Maximum spillback duration (s),10,0.0,0.0,0.0,mean_of_runs
S1,agentic_governed,wan_application_bytes,WAN application bytes/h,10,393745.6,391092.6975,395149.41000000003,mean_of_runs
S1,agentic_governed,peer_application_bytes,Peer application bytes/h,10,1860151.4,1859595.2975,1860674.02,mean_of_runs
S1,agentic_governed,proposed_unsafe_actions,Proposed policy violations,10,15.6,13.1,18.0,mean_of_runs
S1,agentic_governed,blocked_unsafe_actions,Blocked policy violations,10,15.6,13.1,18.0,mean_of_runs
S1,agentic_governed,executed_unsafe_actions,Executed policy violations,10,0.0,0.0,0.0,mean_of_runs
S1,agentic_governed,unsafe_actions_per_1000_decisions,"Executed violations per 1,000 decisions",10,0.0,0.0,0.0,mean_of_runs
S1,agentic_unguarded,mean_time_loss_s,Mean time loss (s),10,53.444924983420925,50.897318438554194,56.71421568189226,mean_of_runs
S1,agentic_unguarded,p95_time_loss_s,P95 time loss (s),10,157.46499999999997,150.99,178.89,median_of_run_values
S1,agentic_unguarded,p95_trip_time_s,P95 trip time (s),10,251.5,244.0,261.0,median_of_run_values
S1,agentic_unguarded,completed_trips,Completed trips,10,2401.6,2393.5,2410.1025,mean_of_runs
S1,agentic_unguarded,max_total_queue,Maximum total queue,10,87.3,79.0,95.8,mean_of_runs
S1,agentic_unguarded,max_spillback_duration_s,Maximum spillback duration (s),10,0.0,0.0,0.0,mean_of_runs
S1,agentic_unguarded,wan_application_bytes,WAN application bytes/h,10,393919.0,391133.27999999997,395418.815,mean_of_runs
S1,agentic_unguarded,peer_application_bytes,Peer application bytes/h,10,1860178.6,1859661.7,1860670.0175,mean_of_runs
S1,agentic_unguarded,proposed_unsafe_actions,Proposed policy violations,10,20.3,16.5,24.0,mean_of_runs
S1,agentic_unguarded,blocked_unsafe_actions,Blocked policy violations,10,0.0,0.0,0.0,mean_of_runs
S1,agentic_unguarded,executed_unsafe_actions,Executed policy violations,10,20.3,16.5,23.9,mean_of_runs
S1,agentic_unguarded,unsafe_actions_per_1000_decisions,"Executed violations per 1,000 decisions",10,86.99712643678161,70.41594827586208,103.08838772577995,mean_of_runs
S1,cloud_maxpressure,mean_time_loss_s,Mean time loss (s),10,74.79892450757525,70.30565032708122,79.49345703563031,mean_of_runs
S1,cloud_maxpressure,p95_time_loss_s,P95 time loss (s),10,243.355,215.48,258.54,median_of_run_values
S1,cloud_maxpressure,p95_trip_time_s,P95 trip time (s),10,331.0,297.0,352.0,median_of_run_values
S1,cloud_maxpressure,completed_trips,Completed trips,10,2378.0,2368.9,2387.5,mean_of_runs
S1,cloud_maxpressure,max_total_queue,Maximum total queue,10,139.7,129.1,150.1,mean_of_runs
S1,cloud_maxpressure,max_spillback_duration_s,Maximum spillback duration (s),10,0.0,0.0,0.0,mean_of_runs
S1,cloud_maxpressure,wan_application_bytes,WAN application bytes/h,10,8781414.9,8780947.9,8781933.5025,mean_of_runs
S1,cloud_maxpressure,peer_application_bytes,Peer application bytes/h,10,0.0,0.0,0.0,mean_of_runs
S1,cloud_maxpressure,proposed_unsafe_actions,Proposed policy violations,10,0.0,0.0,0.0,mean_of_runs
S1,cloud_maxpressure,blocked_unsafe_actions,Blocked policy violations,10,0.0,0.0,0.0,mean_of_runs
S1,cloud_maxpressure,executed_unsafe_actions,Executed policy violations,10,0.0,0.0,0.0,mean_of_runs
S1,coordinated_maxpressure,mean_time_loss_s,Mean time loss (s),10,89.93558424258468,79.19362869566248,101.11698317416881,mean_of_runs
S1,coordinated_maxpressure,p95_time_loss_s,P95 time loss (s),10,274.19,231.9,385.26,median_of_run_values
S1,coordinated_maxpressure,p95_trip_time_s,P95 trip time (s),10,382.5,319.0,509.0,median_of_run_values
S1,coordinated_maxpressure,completed_trips,Completed trips,10,2380.9,2373.9,2387.6,mean_of_runs
S1,coordinated_maxpressure,max_total_queue,Maximum total queue,10,159.1,143.0,177.1,mean_of_runs
S1,coordinated_maxpressure,max_spillback_duration_s,Maximum spillback duration (s),10,0.0,0.0,0.0,mean_of_runs
S1,coordinated_maxpressure,wan_application_bytes,WAN application bytes/h,10,0.0,0.0,0.0,mean_of_runs
S1,coordinated_maxpressure,peer_application_bytes,Peer application bytes/h,10,0.0,0.0,0.0,mean_of_runs
S1,coordinated_maxpressure,proposed_unsafe_actions,Proposed policy violations,10,0.0,0.0,0.0,mean_of_runs
S1,coordinated_maxpressure,blocked_unsafe_actions,Blocked policy violations,10,0.0,0.0,0.0,mean_of_runs
S1,coordinated_maxpressure,executed_unsafe_actions,Executed policy violations,10,0.0,0.0,0.0,mean_of_runs
S1,fixed,mean_time_loss_s,Mean time loss (s),10,60.35051033720335,59.36148993593221,61.39776732873254,mean_of_runs
S1,fixed,p95_time_loss_s,P95 time loss (s),10,183.54500000000002,178.88,192.825,median_of_run_values
S1,fixed,p95_trip_time_s,P95 trip time (s),10,274.0,269.0,284.0,median_of_run_values
S1,fixed,completed_trips,Completed trips,10,2388.4,2381.0,2396.4,mean_of_runs
S1,fixed,max_total_queue,Maximum total queue,10,88.8,85.2,92.6,mean_of_runs
S1,fixed,max_spillback_duration_s,Maximum spillback duration (s),10,0.0,0.0,0.0,mean_of_runs
S1,fixed,wan_application_bytes,WAN application bytes/h,10,0.0,0.0,0.0,mean_of_runs
S1,fixed,peer_application_bytes,Peer application bytes/h,10,0.0,0.0,0.0,mean_of_runs
S1,fixed,proposed_unsafe_actions,Proposed policy violations,10,0.0,0.0,0.0,mean_of_runs
S1,fixed,blocked_unsafe_actions,Blocked policy violations,10,0.0,0.0,0.0,mean_of_runs
S1,fixed,executed_unsafe_actions,Executed policy violations,10,0.0,0.0,0.0,mean_of_runs
S1,local_maxwave,mean_time_loss_s,Mean time loss (s),10,50.0368974519588,48.854321407699224,51.3319576905692,mean_of_runs
S1,local_maxwave,p95_time_loss_s,P95 time loss (s),10,147.71499999999997,138.07,157.265,median_of_run_values
S1,local_maxwave,p95_trip_time_s,P95 trip time (s),10,246.5,239.0,255.0,median_of_run_values
S1,local_maxwave,completed_trips,Completed trips,10,2406.5,2397.5,2416.7,mean_of_runs
S1,local_maxwave,max_total_queue,Maximum total queue,10,77.1,72.8,82.5,mean_of_runs
S1,local_maxwave,max_spillback_duration_s,Maximum spillback duration (s),10,0.0,0.0,0.0,mean_of_runs
S1,local_maxwave,wan_application_bytes,WAN application bytes/h,10,0.0,0.0,0.0,mean_of_runs
S1,local_maxwave,peer_application_bytes,Peer application bytes/h,10,0.0,0.0,0.0,mean_of_runs
S1,local_maxwave,proposed_unsafe_actions,Proposed policy violations,10,0.0,0.0,0.0,mean_of_runs
S1,local_maxwave,blocked_unsafe_actions,Blocked policy violations,10,0.0,0.0,0.0,mean_of_runs
S1,local_maxwave,executed_unsafe_actions,Executed policy violations,10,0.0,0.0,0.0,mean_of_runs
S2,agentic_governed,mean_time_loss_s,Mean time loss (s),20,53.59680198097275,52.34044749257489,54.964769876818444,mean_of_runs
S2,agentic_governed,p95_time_loss_s,P95 time loss (s),20,167.935,158.78,176.89,median_of_run_values
S2,agentic_governed,p95_trip_time_s,P95 trip time (s),20,246.5,240.5,252.5,median_of_run_values
S2,agentic_governed,emergency_trip_time_s,Emergency trip time (s),20,401.7,377.04875,418.55,mean_of_runs
S2,agentic_governed,completed_trips,Completed trips,20,2013.85,2012.45,2015.1,mean_of_runs
S2,agentic_governed,max_total_queue,Maximum total queue,20,101.85,97.6,106.85,mean_of_runs
S2,agentic_governed,max_spillback_duration_s,Maximum spillback duration (s),20,0.0,0.0,0.0,mean_of_runs
S2,agentic_governed,wan_application_bytes,WAN application bytes/h,20,408242.4,407921.19875000004,408458.3525,mean_of_runs
S2,agentic_governed,peer_application_bytes,Peer application bytes/h,20,1858488.3,1858153.6412499999,1858820.50625,mean_of_runs
S2,agentic_governed,proposed_unsafe_actions,Proposed policy violations,20,15.1,13.6,16.7,mean_of_runs
S2,agentic_governed,blocked_unsafe_actions,Blocked policy violations,20,15.1,13.6,16.7,mean_of_runs
S2,agentic_governed,executed_unsafe_actions,Executed policy violations,20,0.0,0.0,0.0,mean_of_runs
S2,agentic_governed,unsafe_actions_per_1000_decisions,"Executed violations per 1,000 decisions",20,0.0,0.0,0.0,mean_of_runs
S2,agentic_governed_no_peer,mean_time_loss_s,Mean time loss (s),20,53.66010286137456,52.67772356107766,54.772288215216946,mean_of_runs
S2,agentic_governed_no_peer,p95_time_loss_s,P95 time loss (s),20,174.33,170.18,181.95999999999998,median_of_run_values
S2,agentic_governed_no_peer,p95_trip_time_s,P95 trip time (s),20,248.5,246.0,257.5,median_of_run_values
S2,agentic_governed_no_peer,emergency_trip_time_s,Emergency trip time (s),20,379.9,334.29625,415.25,mean_of_runs
S2,agentic_governed_no_peer,completed_trips,Completed trips,20,2013.6,2012.95,2014.2,mean_of_runs
S2,agentic_governed_no_peer,max_total_queue,Maximum total queue,20,102.4,98.1,107.25,mean_of_runs
S2,agentic_governed_no_peer,max_spillback_duration_s,Maximum spillback duration (s),20,0.0,0.0,0.0,mean_of_runs
S2,agentic_governed_no_peer,wan_application_bytes,WAN application bytes/h,20,313343.7,313286.54875,313408.30124999996,mean_of_runs
S2,agentic_governed_no_peer,peer_application_bytes,Peer application bytes/h,20,0.0,0.0,0.0,mean_of_runs
S2,agentic_governed_no_peer,proposed_unsafe_actions,Proposed policy violations,20,4.65,3.35,5.95,mean_of_runs
S2,agentic_governed_no_peer,blocked_unsafe_actions,Blocked policy violations,20,4.65,3.35,5.95,mean_of_runs
S2,agentic_governed_no_peer,executed_unsafe_actions,Executed policy violations,20,0.0,0.0,0.0,mean_of_runs
S2,agentic_governed_no_peer,unsafe_actions_per_1000_decisions,"Executed violations per 1,000 decisions",20,0.0,0.0,0.0,mean_of_runs
S2,agentic_unguarded,mean_time_loss_s,Mean time loss (s),20,55.07810011628985,53.054978298647065,57.1523471956947,mean_of_runs
